     L  Total_Resonances      None_Trivial           Trivial     Density
     3                90                30                60  0.55555556
     5               270                54               216  0.36000000
     7               546                78               468  0.26530612
     9               918               102               816  0.20987654
    11              1386               126              1260  0.17355372
    13              1950               150              1800  0.14792899
    15              2610               174              2436  0.12888889
    17              3366               198              3168  0.11418685
    19              4218               222              3996  0.10249307
    21              5166               246              4920  0.09297052
    23              6210               270              5940  0.08506616
    25              7350               294              7056  0.07840000
    27              8586               318              8268  0.07270233
    29              9918               342              9576  0.06777646
    31             11346               366             10980  0.06347555
    33             12870               390             12480  0.05968779
    35             14490               414             14076  0.05632653
    37             16206               438             15768  0.05332359
    39             18018               462             17556  0.05062459
    41             19926               486             19440  0.04818560
    43             21930               510             21420  0.04597080
    45             24030               534             23496  0.04395062
    47             26226               558             25668  0.04210050
    49             28518               582             27936  0.04039983
    51             30906               606             30300  0.03883122
    53             33390               630             32760  0.03737985
    55             35970               654             35316  0.03603306
    57             38646               678             37968  0.03477993
    59             41418               702             40716  0.03361103
    61             44286               726             43560  0.03251814
    63             47250               750             46500  0.03149408
    65             50310               774             49536  0.03053254
    67             53466               798             52668  0.02962798
    69             56718               822             55896  0.02877547
    71             60066               846             59220  0.02797064
    73             63510               870             62640  0.02720961
    75             67050               894             66156  0.02648889
    77             70686               918             69768  0.02580536
    79             74418               942             73476  0.02515622
    81             78246               966             77280  0.02453894
    83             82170               990             81180  0.02395123
    85             86190              1014             85176  0.02339100
    87             90306              1038             89268  0.02285639
    89             94518              1062             93456  0.02234566
    91             98826              1086             97740  0.02185726
    93            103230              1110            102120  0.02138976
    95            107730              1134            106596  0.02094183
    97            112326              1158            111168  0.02051228
    99            117018              1182            115836  0.02009999
   101            121806              1206            120600  0.01970395
   103            126690              1230            125460  0.01932322
   105            131670              1254            130416  0.01895692
   107            136746              1278            135468  0.01860424
   109            141918              1302            140616  0.01826446
   111            147186              1326            145860  0.01793686
   113            152550              1350            151200  0.01762080
   115            158010              1374            156636  0.01731569
   117            163566              1398            162168  0.01702097
   119            169218              1422            167796  0.01673611
   121            174966              1446            173520  0.01646062
   123            180810              1470            179340  0.01619406
   125            186750              1494            185256  0.01593600
   127            192786              1518            191268  0.01568603
   129            198918              1542            197376  0.01544378
   131            205146              1566            203580  0.01520890
   133            211470              1590            209880  0.01498106
   135            217890              1614            216276  0.01475995
   137            224406              1638            222768  0.01454526
   139            231018              1662            229356  0.01433673
   141            237726              1686            236040  0.01413410
   143            244530              1710            242820  0.01393711
   145            251430              1734            249696  0.01374554
   147            258426              1758            256668  0.01355917
   149            265518              1782            263736  0.01337778
   151            272706              1806            270900  0.01320118
   153            279990              1830            278160  0.01302918
   155            287370              1854            285516  0.01286160
   157            294846              1878            292968  0.01269828
   159            302418              1902            300516  0.01253906
   161            310086              1926            308160  0.01238378
   163            317850              1950            315900  0.01223230
   165            325710              1974            323736  0.01208448
   167            333666              1998            331668  0.01194019
   169            341718              2022            339696  0.01179931
   171            349866              2046            347820  0.01166171
   173            358110              2070            356040  0.01152728
   175            366450              2094            364356  0.01139592
   177            374886              2118            372768  0.01126752
   179            383418              2142            381276  0.01114197
   181            392046              2166            389880  0.01101920
   183            400770              2190            398580  0.01089910
   185            409590              2214            407376  0.01078159
   187            418506              2238            416268  0.01066659
   189            427518              2262            425256  0.01055402
   191            436626              2286            434340  0.01044379
   193            445830              2310            443520  0.01033585
   195            455130              2334            452796  0.01023011
   197            464526              2358            462168  0.01012652
   199            474018              2382            471636  0.01002500
   201            483606              2406            481200  0.00992550
   203            493290              2430            490860  0.00982795
   205            503070              2454            500616  0.00973230
   207            512946              2478            510468  0.00963850
   209            522918              2502            520416  0.00954648
   211            532986              2526            530460  0.00945621
   213            543150              2550            540600  0.00936763
   215            553410              2574            550836  0.00928069
   217            563766              2598            561168  0.00919535
   219            574218              2622            571596  0.00911157
   221            584766              2646            582120  0.00902930
   223            595410              2670            592740  0.00894850
   225            606150              2694            603456  0.00886914
   227            616986              2718            614268  0.00879117
   229            627918              2742            625176  0.00871456
   231            638946              2766            636180  0.00863927
   233            650070              2790            647280  0.00856527
   235            661290              2814            658476  0.00849253
   237            672606              2838            669768  0.00842102
   239            684018              2862            681156  0.00835069
   241            695526              2886            692640  0.00828154
   243            707130              2910            704220  0.00821352
   245            718830              2934            715896  0.00814661
   247            730626              2958            727668  0.00808077
   249            742518              2982            739536  0.00801600
   251            754506              3006            751500  0.00795225
   253            766590              3030            763560  0.00788952
   255            778770              3054            775716  0.00782776
   257            791046              3078            787968  0.00776696
   259            803418              3102            800316  0.00770710
   261            815886              3126            812760  0.00764816
   263            828450              3150            825300  0.00759011
   265            841110              3174            837936  0.00753293
   267            853866              3198            850668  0.00747661
   269            866718              3222            863496  0.00742112
   271            879666              3246            876420  0.00736646
   273            892710              3270            889440  0.00731259
   275            905850              3294            902556  0.00725950
   277            919086              3318            915768  0.00720718
   279            932418              3342            929076  0.00715561
   281            945846              3366            942480  0.00710477
   283            959370              3390            955980  0.00705465
   285            972990              3414            969576  0.00700523
   287            986706              3438            983268  0.00695650
   289           1000518              3462            997056  0.00690844
   291           1014426              3486           1010940  0.00686104
   293           1028430              3510           1024920  0.00681429
   295           1042530              3534           1038996  0.00676817
   297           1056726              3558           1053168  0.00672267
   299           1071018              3582           1067436  0.00667778
   301           1085406              3606           1081800  0.00663348
   303           1099890              3630           1096260  0.00658977
   305           1114470              3654           1110816  0.00654663
   307           1129146              3678           1125468  0.00650405
   309           1143918              3702           1140216  0.00646202
   311           1158786              3726           1155060  0.00642053
   313           1173750              3750           1170000  0.00637957
   315           1188810              3774           1185036  0.00633913
   317           1203966              3798           1200168  0.00629920
   319           1219218              3822           1215396  0.00625977
   321           1234566              3846           1230720  0.00622082
   323           1250010              3870           1246140  0.00618237
   325           1265550              3894           1261656  0.00614438
   327           1281186              3918           1277268  0.00610686
   329           1296918              3942           1292976  0.00606979
   331           1312746              3966           1308780  0.00603317
   333           1328766              3990           1324776  0.00599742
   335           1344690              4014           1340676  0.00596124
   337           1360806              4038           1356768  0.00592591
   339           1377018              4062           1372956  0.00589100
   341           1393326              4086           1389240  0.00585650
   343           1409730              4110           1405620  0.00582240
   345           1426230              4134           1422096  0.00578870
   347           1442826              4158           1438668  0.00575538
   349           1459518              4182           1455336  0.00572245
   351           1476306              4206           1472100  0.00568989
   353           1493190              4230           1488960  0.00565770
   355           1510170              4254           1505916  0.00562587
   357           1527246              4278           1522968  0.00559439
   359           1544418              4302           1540116  0.00556327
   361           1561686              4326           1557360  0.00553249
   363           1579050              4350           1574700  0.00550205
   365           1596510              4374           1592136  0.00547195
   367           1614066              4398           1609668  0.00544217
   369           1631718              4422           1627296  0.00541271
   371           1649466              4446           1645020  0.00538357
   373           1667310              4470           1662840  0.00535474
