# 1-D oscillator chain:  omega_k = sqrt(1 + 4 sin^2(pi k / L))
# L = 2 ell + 1  (odd),  periodic boundary
#
# Resonance conditions  (zeta = (k, sigma),  sigma = +/-1):
#   k + k1 + k2 + k3  = 0   (mod L)       [momentum]
#   sigma*w_k + s1*w_{k1} + s2*w_{k2} + s3*w_{k3} = 0  [frequency]
#
# Only 2-positive / 2-negative sign configs can satisfy the
# frequency condition (since w_k >= 1).
#
# Total   = sum_zeta |R_zeta|
# Trivial = subset where {w_pos} = {w_neg} as multisets
#           (no net energy transfer in the kinetic equation)
#
     L          Total        Trivial    Non-trivial
------------------------------------------------------
     3             30             30              0
     5             54             54              0
     7             78             78              0
     9            102            102              0
    11            126            126              0
    13            150            150              0
    15            174            174              0
    17            198            198              0
    19            222            222              0
    21            294            246             48
    23            270            270              0
    25            294            294              0
    27            318            318              0
    29            342            342              0
    31            366            366              0
    33            390            390              0
    35            414            414              0
    37            438            438              0
    39            462            462              0
    41            486            486              0
    43            510            510              0
    45            534            534              0
    47            558            558              0
    49            582            582              0
    51            606            606              0
    53            630            630              0
    55            654            654              0
    57            678            678              0
    59            750            702             48
    61            774            726             48
    63            798            750             48
    65            774            774              0
    67            798            798              0
    69            918            822             96
    71            846            846              0
    73            870            870              0
    75            894            894              0
    77            966            918             48
    79            942            942              0
    81            966            966              0
    83            990            990              0
    85           1062           1014             48
    87           1134           1038             96
    89           1062           1062              0
    91           1134           1086             48
    93           1206           1110             96
    95           1134           1134              0
    97           1158           1158              0
    99           1182           1182              0
   101           1302           1206             96
   103           1230           1230              0
   105           1302           1254             48
   107           1278           1278              0
   109           1398           1302             96
   111           1326           1326              0
   113           1350           1350              0
   115           1422           1374             48
   117           1494           1398             96
   119           1422           1422              0
   121           1446           1446              0
   123           1470           1470              0
   125           1686           1494            192
   127           1566           1518             48
   129           1638           1542             96
   131           1614           1566             48
   133           1734           1590            144
   135           1662           1614             48
   137           1638           1638              0
   139           1662           1662              0
   141           1830           1686            144
   143           1710           1710              0
   145           1782           1734             48
   147           1854           1758             96
   149           1878           1782             96
   151           1902           1806             96
   153           1878           1830             48
   155           1950           1854             96
   157           2022           1878            144
   159           1902           1902              0
   161           1974           1926             48
   163           1998           1950             48
   165           2166           1974            192
   167           2094           1998             96
   169           2118           2022             96
   171           2142           2046             96
   173           2214           2070            144
   175           2190           2094             96
   177           2262           2118            144
   179           2286           2142            144
   181           2406           2166            240
   183           2286           2190             96
   185           2310           2214             96
   187           2334           2238             96
   189           2454           2262            192
   191           2382           2286             96
   193           2550           2310            240
   195           2478           2334            144
   197           2550           2358            192
   199           2574           2382            192
   201           2454           2406             48
   203           2526           2430             96
   205           2646           2454            192
   207           2670           2478            192
   209           2646           2502            144
   211           2670           2526            144
   213           2742           2550            192
   215           2766           2574            192
   217           2790           2598            192
   219           2718           2622             96
   221           2838           2646            192
   223           2814           2670            144
   225           2790           2694             96
   227           2814           2718             96
   229           2886           2742            144
   231           3006           2766            240
   233           2934           2790            144
   235           3006           2814            192
   237           3126           2838            288
   239           3006           2862            144
   241           3126           2886            240
   243           3150           2910            240
   245           3222           2934            288
   247           3294           2958            336
   249           3126           2982            144
   251           3246           3006            240
   253           3318           3030            288
   255           3342           3054            288
   257           3366           3078            288
   259           3390           3102            288
   261           3558           3126            432
   263           3438           3150            288
   265           3318           3174            144
   267           3486           3198            288
   269           3558           3222            336
   271           3534           3246            288
   273           3510           3270            240
   275           3486           3294            192
   277           3750           3318            432
   279           3726           3342            384
   281           3510           3366            144
   283           3678           3390            288
   285           3750           3414            336
   287           3774           3438            336
   289           3654           3462            192
   291           3678           3486            192
   293           3846           3510            336
   295           4062           3534            528
   297           3942           3558            384
   299           4062           3582            480
   301           4086           3606            480
   303           4158           3630            528
   305           4086           3654            432
   307           4110           3678            432
   309           4134           3702            432
   311           4254           3726            528
   313           4086           3750            336
   315           4254           3774            480
   317           4278           3798            480
   319           4350           3822            528
   321           4230           3846            384
   323           4206           3870            336
   325           4470           3894            576
   327           4542           3918            624
   329           4374           3942            432
   331           4446           3966            480
   333           4374           3990            384
   335           4590           4014            576
   337           4614           4038            576
   339           4494           4062            432
   341           4470           4086            384
   343           4734           4110            624
   345           4614           4134            480
   347           4638           4158            480
   349           4566           4182            384
   351           4734           4206            528
   353           4614           4230            384
   355           4830           4254            576
   357           4854           4278            576
   359           4830           4302            528
   361           4806           4326            480
   363           4782           4350            432
   365           5046           4374            672
   367           5070           4398            672
   369           4854           4422            432
